lap_number,driver_number,grand_prix,flag_upper,sc_deploy,sc_end,vsc_deploy,vsc_end,is_yellow,is_double_yellow,is_red,is_blue,lap_clean
55.0,14.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
55.0,14.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
47.0,18.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
49.0,18.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
50.0,18.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
56.0,18.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
53.0,22.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
44.0,23.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
47.0,23.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
47.0,23.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
56.0,23.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
37.0,24.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
37.0,24.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
40.0,24.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
48.0,31.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
51.0,31.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
46.0,77.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
47.0,77.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
50.0,77.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
52.0,77.0,Austin,BLUE,False,False,False,False,False,False,False,True,False
1.0,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1.0,,Austin,YELLOW,False,False,False,False,True,False,False,False,False
3.0,,Austin,YELLOW,False,False,False,False,True,False,False,False,False
3.0,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
10.0,,Austin,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
10.0,,Austin,YELLOW,False,False,False,False,True,False,False,False,False
41.0,,Austin,YELLOW,False,False,False,False,True,False,False,False,False
49.0,31.0,Baku,BLUE,False,False,False,False,False,False,False,True,False
49.0,77.0,Baku,BLUE,False,False,False,False,False,False,False,True,False
49.0,77.0,Baku,BLUE,False,False,False,False,False,False,False,True,False
49.0,77.0,Baku,BLUE,False,False,False,False,False,False,False,True,False
49.0,77.0,Baku,BLUE,False,False,False,False,False,False,False,True,False
1.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1.0,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
1.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
1.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
36.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
50.0,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
50.0,,Baku,YELLOW,False,False,False,False,True,False,False,False,False
51.0,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
51.0,,Baku,DOUBLE YELLOW,False,False,False,False,True,True,False,False,False
